"STRUCTURE_NUMBER_008","COUNTY_CODE_003_L","ROUTE_PREFIX_005B_L","MAINTENANCE_021_L","YEAR_BUILT_027","ADT_029","STRUCTURE_KIND_043A_L","STRUCTURAL_EVAL_067","BRIDGE_IMP_COST_094"
"S180160VTDOTNBI","Hampshire","U.S. numbered highway","State Highway Agency",1958,14700,"Steel",6,621000
"S180185QBDOTNBI","Hampshire","U.S. numbered highway","State Highway Agency",1958,16552,"Concrete",6,198000
"S190025PGMUNNBI","Hampshire","City street","Town or Township Highway Agency",1960,130,"Steel",6,321000
"S190060RTMUNNBI","Hampshire","City street","Town or Township Highway Agency",1956,1810,"Prestressed concrete",6,435000
"S190100RVMUNNBI","Hampshire","City street","Town or Township Highway Agency",1933,2100,"Concrete",4,3342000
"S190110RUMUNNBI","Hampshire","City street","Town or Township Highway Agency",1952,388,"Concrete",5,887000
"S190160RNMUNNBI","Hampshire","City street","Town or Township Highway Agency",1938,1164,"Prestressed concrete",7,621000
"S190180RPMUNNBI","Hampshire","City street","Town or Township Highway Agency",1989,259,"Concrete",6,208000
"S190215PLMUNNBI","Hampshire","City street","Town or Township Highway Agency",1995,685,"Concrete",7,240000
"S190230RQMUNNBI","Hampshire","City street","Town or Township Highway Agency",1956,259,"Prestressed concrete",7,324000
"S190240RWMUNNBI","Hampshire","City street","Town or Township Highway Agency",1956,260,"Prestressed concrete",6,851000
"S190250RRMUNNBI","Hampshire","City street","Town or Township Highway Agency",1956,893,"Prestressed concrete",6,1367000
"W050080T3MUNNBI","Hampshire","City street","Town or Township Highway Agency",1956,100,"Prestressed concrete",6,162000
"W050100NDMUNNBI","Hampshire","City street","Town or Township Highway Agency",1935,646,"Concrete",6,234000
"W05013BN0MUNNBI","Hampshire","City street","Town or Township Highway Agency",2013,100,"Prestressed concrete",7,418000
"W050240T4MUNNBI","Hampshire","City street","Town or Township Highway Agency",1938,905,"Steel",6,461000
"W270010NRMUNNBI","Hampshire","City street","Town or Township Highway Agency",1939,1810,"Steel",5,468000
"W270020NUMUNNBI","Hampshire","City street","Town or Township Highway Agency",1940,6336,"Steel",4,698000
"W270030TDMUNNBI","Hampshire","City street","Town or Township Highway Agency",1938,905,"Steel",5,402000
"W270040NTMUNNBI","Hampshire","City street","Town or Township Highway Agency",1941,905,"Concrete",4,627000
"W270050TBMUNNBI","Hampshire","City street","Town or Township Highway Agency",1938,884,"Steel",3,1274000
"W2701011PDOTNBI","Hampshire","State highway","State Highway Agency",1946,2500,"Concrete",4,583000
"W27015BD7MUNNBI","Hampshire","City street","Town or Township Highway Agency",2014,1164,"Prestressed concrete",8,0
"W270160TFMUNNBI","Hampshire","City street","Town or Township Highway Agency",1938,776,"Steel",3,259000
"W270180TEMUNNBI","Hampshire","City street","Town or Township Highway Agency",1948,2715,"Concrete",5,289000
"W270260NVMUNNBI","Hampshire","City street","Town or Township Highway Agency",1956,388,"Prestressed concrete",5,401000
"W270270NWMUNNBI","Hampshire","City street","Town or Township Highway Agency",1960,1034,"Steel",5,192000
"W270280TAMUNNBI","Hampshire","City street","Town or Township Highway Agency",1956,259,"Steel",4,804000
"W27029AM8MUNNBI","Hampshire","City street","Town or Township Highway Agency",1996,30,"Concrete",6,576000
"W360010K2DOTNBI","Hampshire","State highway","State Highway Agency",1931,1857,"Concrete",7,353000
"W360030JBMUNNBI","Hampshire","City street","Town or Township Highway Agency",1930,129,"Steel",4,248000
"W360120FGMUNNBI","Hampshire","City street","Town or Township Highway Agency",1922,1200,"Concrete",5,527000
"W360130JUDOTNBI","Hampshire","State highway","State Highway Agency",1926,9310,"Concrete",6,476000
"W360140JVDOTNBI","Hampshire","State highway","State Highway Agency",1926,9569,"Concrete",6,649000
"W360180J7MUNNBI","Hampshire","City street","Town or Township Highway Agency",1955,129,"Steel",7,1784000
"W360210K1DOTNBI","Hampshire","State highway","State Highway Agency",1931,1942,"Concrete",6,487000
"W36027AF5MUNNBI","Hampshire","City street","Town or Township Highway Agency",1999,129,"Prestressed concrete",7,755000
